All CPC Ads Report - Shopee Indonesia
User Name,paris_classic_official
Shop Name,Paris & Classic Official Store
Shop ID,388152965
Report Creation Time,10/02/2026 11:36
Date Period,01/01/2026 - 31/01/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR
1,Prue Audrey,Paused,Product Ad,-,-,GMV Max Custom ROAS,-,02/10/2025 00:00:00,Unlimited,1,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-
2,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 3158] [28],Ongoing,Product Ad,14840789970,-,GMV Max Custom ROAS,All,31/12/2025 00:00:00,Unlimited,411312,14930,3.63%,259,96,1.73%,0.64%,22953.54,61926.73,262,96,64930129,26132361,5944966,10.92,4.40,9.16%,22.75%,-,-,-
3,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 21022] [29],Ongoing,Product Ad,3279662548,-,GMV Max Custom ROAS,All,25/01/2026 00:00:00,Unlimited,107904,3669,3.40%,86,60,2.34%,1.64%,23325.55,33433.29,86,60,21186839,15911594,2005997,10.56,7.93,9.47%,12.61%,-,-,-
4,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 98984] [21],Ongoing,Product Ad,9515797130,-,GMV Max Custom ROAS,All,25/01/2026 00:00:00,Unlimited,99603,3449,3.46%,74,39,2.15%,1.13%,18468.36,35042.53,76,39,18882148,10478031,1366658,13.82,7.67,7.24%,13.04%,-,-,-
5,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 30522] [22],Ongoing,Product Ad,10639294074,-,GMV Max Custom ROAS,All,25/01/2026 00:00:00,Unlimited,65875,2374,3.60%,42,18,1.77%,0.76%,22609.77,52756.14,43,18,10825082,4758000,949611,11.40,5.01,8.77%,19.96%,-,-,-
6,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 93325] [20],Paused,Product Ad,3184192278,-,GMV Max Custom ROAS,All,22/12/2025 00:00:00,Unlimited,1544848,51048,3.30%,894,697,1.75%,1.37%,22745.33,29174.06,903,703,233803518,191499760,20334322,11.50,9.42,8.70%,10.62%,-,-,-
7,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 93315] [29],Paused,Product Ad,4079531512,-,GMV Max Custom ROAS,All,22/12/2025 00:00:00,Unlimited,639400,19906,3.11%,442,276,2.22%,1.39%,26355.66,42207.25,451,283,113676264,76409417,11649202,9.76,6.56,10.25%,15.25%,-,-,-
8,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 2040] [28],Paused,Product Ad,4379529015,-,GMV Max Custom ROAS,All,09/01/2026 00:00:00,Unlimited,367569,10729,2.92%,201,111,1.87%,1.03%,23432.50,42431.82,209,119,52172448,32201000,4709932,11.08,6.84,9.03%,14.63%,-,-,-
9,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 21022] [28],Paused,Product Ad,3279662548,-,GMV Max Custom ROAS,All,22/12/2025 00:00:00,Unlimited,242654,8867,3.65%,214,111,2.41%,1.25%,20282.47,39103.13,216,112,54342203,30278418,4340448,12.52,6.98,7.99%,14.34%,-,-,-
10,Paris Classic Tas Wanita Import Branded Fashion Handbag [PC1251] [7],Paused,Product Ad,43569381258,-,GMV Max Custom ROAS,All,31/12/2025 00:00:00,Unlimited,214522,10218,4.76%,188,40,1.84%,0.39%,23245.08,109251.88,192,40,45058161,10805662,4370075,10.31,2.47,9.70%,40.44%,-,-,-
11,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 1037] [14],Paused,Product Ad,22523523003,-,GMV Max Custom ROAS,All,09/01/2026 00:00:00,Unlimited,196360,6861,3.49%,126,65,1.84%,0.95%,22672.19,43949.17,130,65,33169203,18892420,2856696,11.61,6.61,8.61%,15.12%,-,-,-
12,Paris Classic Tas Wanita  Import Branded Fashion Handbag [PC1236] [20],Paused,Product Ad,25941732119,-,GMV Max Custom ROAS,All,09/01/2026 00:00:00,Unlimited,180333,8526,4.73%,85,45,1.00%,0.53%,28566.65,53959.23,85,45,20117426,12009446,2428165,8.29,4.95,12.07%,20.22%,-,-,-
13,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 30522] [21],Paused,Product Ad,10639294074,-,GMV Max Custom ROAS,All,09/01/2026 00:00:00,Unlimited,154267,5693,3.69%,126,65,2.21%,1.14%,24124.66,46764.73,127,65,32838902,18471000,3039708,10.80,6.08,9.26%,16.46%,-,-,-
14,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 1131] [25],Paused,Product Ad,25505649235,-,GMV Max Custom ROAS,All,25/01/2026 00:00:00,Unlimited,123925,4579,3.69%,93,60,2.03%,1.31%,18872.25,29251.99,94,61,21918721,15939755,1755119,12.49,9.08,8.01%,11.01%,-,-,-
15,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 2040] [29],Paused,Product Ad,4379529015,-,GMV Max Custom ROAS,All,25/01/2026 00:00:00,Unlimited,122714,3997,3.26%,75,45,1.88%,1.13%,23223.14,38705.24,77,45,18386822,11848210,1741736,10.56,6.80,9.47%,14.70%,-,-,-
16,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 1037] [15],Paused,Product Ad,22523523003,-,GMV Max Custom ROAS,All,25/01/2026 00:00:00,Unlimited,85972,2994,3.48%,58,40,1.94%,1.34%,24793.93,35951.20,59,41,14534697,10701600,1438048,10.11,7.44,9.89%,13.44%,-,-,-
17,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 93325] [16],Paused,Product Ad,3184192278,-,GMV Max Custom ROAS,All,17/11/2025 00:00:00,Unlimited,11,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-
18,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 93325] [18],Paused,Product Ad,3184192278,-,GMV Max Custom ROAS,All,10/12/2025 00:00:00,Unlimited,10,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-
19,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 2040] [27],Paused,Product Ad,4379529015,-,GMV Max Custom ROAS,All,22/12/2025 00:00:00,Unlimited,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-
20,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 93325] [19],Paused,Product Ad,3184192278,-,GMV Max Custom ROAS,All,15/12/2025 00:00:00,Unlimited,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-
21,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 1131] [23],Paused,Product Ad,25505649235,-,GMV Max Custom ROAS,All,22/12/2025 00:00:00,Unlimited,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-
22,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 3015] [14],Paused,Product Ad,12138439465,-,GMV Max Custom ROAS,All,06/12/2025 00:00:00,Unlimited,4,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-
23,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 1131] [22],Paused,Product Ad,25505649235,-,GMV Max Custom ROAS,All,06/12/2025 00:00:00,Unlimited,4,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-
24,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 93325] [17],Paused,Product Ad,3184192278,-,GMV Max Custom ROAS,All,06/12/2025 00:00:00,Unlimited,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-
25,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 3158] [26],Paused,Product Ad,14840789970,-,GMV Max Custom ROAS,All,06/12/2025 00:00:00,Unlimited,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-
26,Paris Classic Tas Wanita  Import Branded Fashion Handbag [PC1-31],Paused,Product Ad,40876402249,-,"Stage 1: GMV Max Auto Bidding, Stage 2: GMV Max Auto Bidding",All,30/11/2025 00:00:00,Unlimited,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-
27,Paris Classic Tas Wanita Fashion Import Terbaru HandBag Wanita [PC 3158] [27],Paused,Product Ad,14840789970,-,GMV Max Custom ROAS,All,20/12/2025 00:00:00,Unlimited,2,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-
